20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","495","495","502","508","498","509","506","506","495","506","496","504","506","508","502","503","503","507","500","499","501","503","506","496","498","496","495","496","499","500","496","494","498","500","500","497","496","498","505","504"
"0002","pop1","493","501","502","506","502","503","504","505","502","493","504","503","506","500","499","495","508","504","503","496","502","498","497","495","500","504","499","500","499","500","496","501","500","500","493","496","498","497","505","502"
"0003","pop1","495","493","506","504","502","505","506","505","502","504","497","505","506","501","499","495","507","498","505","498","501","502","495","509","504","503","502","497","496","494","500","493","498","497","493","496","498","499","505","502"
"0004","pop1","496","494","502","509","502","499","505","500","505","501","499","500","506","500","495","500","503","508","505","504","502","496","495","492","499","499","500","506","503","501","501","493","501","502","502","491","497","504","504","506"
"0005","pop1","505","497","508","506","502","502","504","500","502","509","501","498","506","506","503","500","504","497","494","493","503","495","492","507","501","502","499","501","503","501","501","500","497","499","493","501","497","503","504","506"
"0006","pop1","493","498","502","509","501","500","504","504","493","505","505","501","506","507","495","504","508","506","499","493","496","497","496","509","498","501","499","501","501","491","496","502","501","496","497","492","497","500","505","505"
"0007","pop1","495","492","509","498","501","506","504","498","505","496","496","493","508","502","502","494","504","497","500","493","500","499","495","495","504","501","500","500","502","495","494","493","498","501","498","498","496","500","505","502"
"0008","pop1","495","498","509","499","502","503","500","498","505","507","496","505","507","497","500","505","508","498","500","499","496","497","496","507","498","498","500","497","501","495","500","499","501","501","500","491","499","501","505","505"
"0009","pop1","495","495","499","507","500","500","500","498","505","499","497","499","502","504","502","499","504","498","505","494","498","504","509","494","500","499","500","503","499","501","496","503","498","499","491","492","499","500","504","503"
"0010","pop1","495","495","502","500","509","504","495","497","507","503","496","499","497","509","500","498","503","497","499","497","500","499","495","502","504","505","500","510","500","503","494","499","501","501","501","501","499","500","505","504"
"0011","pop1","505","506","504","505","505","508","506","497","504","501","497","505","497","505","502","499","503","508","505","495","504","505","509","493","496","503","501","510","503","502","495","491","497","505","498","499","497","494","505","496"
"0012","pop1","495","504","504","498","509","500","505","503","493","493","505","505","506","506","503","497","507","506","493","495","497","504","495","505","496","499","500","503","503","497","500","502","497","495","493","491","498","500","505","506"
"0013","pop1","495","496","508","509","509","502","500","496","496","503","505","499","505","499","500","498","508","505","505","492","502","499","496","492","500","505","501","494","491","492","501","500","499","495","502","499","498","497","505","506"
"0014","pop1","496","502","506","509","502","507","504","501","506","505","500","492","500","497","494","496","508","497","505","504","499","499","496","493","503","499","500","494","500","503","496","493","497","495","500","501","497","499","502","503"
"0015","pop1","496","506","502","506","502","500","505","505","496","503","500","500","501","499","503","501","508","498","495","491","502","496","493","493","499","505","501","494","499","500","496","493","495","493","501","498","503","501","505","505"
"0016","pop1","496","506","508","509","501","500","506","503","502","503","503","497","506","497","494","497","506","499","495","492","501","503","495","509","499","497","497","510","496","501","494","494","500","497","501","492","499","495","502","503"
"0017","pop1","496","506","508","507","508","508","504","505","495","506","499","501","506","507","500","494","507","500","497","491","502","496","509","493","504","503","499","502","502","502","501","493","500","495","501","495","496","500","505","500"
"0018","pop1","495","497","500","503","500","500","505","497","505","503","497","495","506","501","503","495","497","499","498","504","498","500","496","496","498","501","495","500","500","503","500","493","497","497","500","495","492","505","504","502"
"0019","pop1","496","505","504","503","508","507","505","496","493","499","495","506","500","507","502","498","504","495","498","494","497","497","493","491","500","499","495","510","500","504","493","497","501","504","500","500","500","502","502","502"
"0020","pop1","495","497","502","509","502","505","504","501","505","501","504","497","504","505","502","504","505","495","503","495","496","499","496","495","504","499","494","509","491","497","493","492","496","493","493","496","498","503","505","503"
"0021","pop1","496","506","508","505","498","502","505","497","495","506","503","497","506","506","503","501","507","506","499","505","495","495","496","507","500","503","506","494","500","495","494","500","501","499","499","495","500","501","502","503"
"0022","pop1","495","495","506","499","501","504","506","500","506","504","498","502","508","500","498","501","508","496","500","499","497","499","496","495","500","505","501","504","500","502","496","500","499","496","501","498","498","493","505","504"
"0023","pop1","495","498","502","509","509","502","500","500","509","499","496","505","497","503","503","505","507","506","494","495","495","500","496","509","503","502","500","500","500","501","499","495","500","501","501","504","498","499","504","506"
"0024","pop1","496","496","499","505","500","500","505","498","495","499","496","502","506","508","502","500","507","506","504","491","501","498","492","494","500","505","503","503","500","492","500","493","497","503","502","501","497","499","502","503"
"0025","pop1","494","497","506","504","507","510","505","505","501","503","499","506","508","494","503","503","497","497","493","497","498","497","495","502","498","505","500","502","500","502","496","497","497","497","497","501","496","501","505","505"
"0026","pop1","498","504","509","505","508","507","504","505","499","494","497","505","501","505","503","503","497","505","500","500","502","500","509","494","500","504","500","502","499","502","501","498","497","491","493","501","498","500","505","504"
"0027","pop1","506","506","507","501","509","509","505","507","494","500","499","506","506","499","499","495","506","495","494","492","496","495","509","494","503","499","500","494","502","492","500","493","500","497","501","499","497","500","504","502"
"0028","pop1","494","506","498","505","509","503","506","504","504","501","499","499","504","509","500","501","504","498","500","495","496","497","495","502","496","503","500","494","503","503","494","497","501","503","502","502","499","504","504","504"
"0029","pop1","498","499","508","505","509","505","504","500","504","505","504","501","504","505","500","504","508","508","498","498","495","499","496","503","504","504","502","498","500","497","500","503","498","501","493","501","497","504","502","501"
"0030","pop1","495","496","498","499","501","507","506","500","504","497","505","500","505","499","504","497","497","497","493","495","503","499","495","493","500","506","500","504","502","492","501","500","498","496","491","503","500","500","504","506"
"0031","pop1","495","495","506","504","509","503","505","505","504","504","497","492","507","504","501","492","506","509","500","498","496","497","496","497","498","504","502","503","499","501","493","497","500","501","498","498","498","500","505","504"
"0032","pop1","495","506","505","503","502","505","507","499","502","502","498","502","507","498","500","498","508","497","494","493","503","498","495","491","498","500","506","501","499","497","494","492","501","499","500","501","499","499","506","506"
"0033","pop1","495","497","502","506","505","501","506","495","501","500","504","499","505","496","503","500","508","506","500","494","498","496","497","502","504","499","500","507","501","492","493","497","497","497","496","495","496","498","505","503"
"0034","pop1","495","496","509","507","501","508","505","499","495","502","497","499","506","497","502","494","508","498","496","498","503","504","496","504","500","499","497","497","500","503","500","503","498","499","502","491","498","502","505","505"
"0035","pop1","504","504","506","507","502","507","504","497","504","505","496","502","497","503","500","500","508","498","503","504","502","504","495","494","504","499","501","492","503","502","500","503","498","502","500","491","497","499","504","503"
"0036","pop1","505","498","509","498","502","507","506","504","493","497","496","503","507","507","500","504","504","500","500","496","498","496","509","494","498","504","503","494","500","502","500","500","495","495","501","501","496","504","505","504"
"0037","pop1","494","505","508","506","505","500","506","506","502","501","496","504","500","498","500","494","497","505","492","491","496","500","502","510","498","504","500","500","501","492","496","496","498","498","500","498","498","504","504","504"
"0038","pop1","494","497","506","509","502","508","504","496","504","503","498","502","508","504","499","501","503","507","498","494","498","496","495","509","504","504","494","509","496","503","501","500","496","496","493","496","496","499","505","504"
"0039","pop1","496","506","506","506","500","500","506","505","500","498","497","499","500","500","502","502","498","497","500","491","495","499","495","509","500","499","496","505","503","491","494","502","498","494","493","504","498","504","504","502"
"0040","pop1","496","503","504","500","505","507","497","496","493","503","496","506","502","497","503","497","507","497","500","505","498","499","506","496","500","503","500","505","502","493","493","495","504","503","500","491","499","493","505","502"
"0041","pop1","505","504","504","505","502","502","504","504","493","503","497","506","497","504","505","501","498","505","500","492","501","497","507","494","503","505","500","506","502","498","494","500","500","492","493","505","501","501","506","503"
"0042","pop1","496","496","506","507","502","502","504","497","493","504","499","501","506","496","494","493","507","496","505","492","502","505","509","493","504","504","499","509","501","502","496","497","497","504","500","501","496","498","503","503"
"0043","pop1","497","502","502","506","502","508","500","497","504","496","497","501","504","509","502","501","507","505","499","494","497","497","506","496","500","505","506","506","503","501","494","492","500","502","497","491","499","504","505","506"
"0044","pop1","498","492","502","503","500","508","497","501","496","500","496","497","507","497","499","500","497","505","500","500","497","497","493","491","504","505","500","502","502","492","493","492","500","493","493","491","504","501","505","504"
"0045","pop1","495","504","502","498","502","508","497","507","504","507","499","500","506","501","501","506","507","504","497","495","497","504","497","495","498","505","496","502","491","491","500","491","500","499","493","493","498","504","502","502"
"0046","pop1","495","494","502","500","503","506","505","497","505","507","505","502","500","505","499","505","497","494","505","492","498","500","497","493","505","506","499","509","502","502","496","497","500","493","501","504","499","499","504","503"
"0047","pop1","497","497","504","509","498","507","505","498","505","498","499","495","506","504","502","505","504","497","498","493","502","500","493","493","496","499","510","504","503","497","499","499","500","497","493","498","499","499","505","504"
"0048","pop1","496","506","500","505","502","501","505","509","506","504","496","502","506","507","495","505","508","506","500","498","498","496","506","493","502","505","500","502","500","502","499","498","499","492","492","499","497","505","506","506"
"0049","pop1","495","504","502","503","508","508","506","506","506","505","497","506","504","503","503","500","507","508","493","497","502","498","509","493","504","499","500","502","503","502","500","493","500","500","500","493","500","500","504","501"
"0050","pop1","495","494","504","507","500","500","506","506","504","503","497","501","507","502","502","500","503","499","495","495","502","498","495","502","504","503","499","501","501","492","500","493","500","504","500","504","497","500","505","502"
"0051","pop1","494","505","509","507","502","503","504","504","501","500","500","492","506","501","500","498","504","506","500","495","496","500","496","497","496","503","499","493","499","503","495","492","497","502","491","499","496","502","505","504"
"0052","pop1","497","498","504","500","502","510","505","501","494","500","497","499","501","504","502","503","497","500","497","491","502","498","491","503","498","499","500","498","499","492","501","500","497","493","499","494","499","499","502","502"
"0053","pop1","494","505","508","503","503","508","500","501","502","497","501","506","504","504","495","500","497","505","499","498","498","504","496","509","504","501","500","503","491","492","495","492","504","504","501","492","499","499","505","505"
"0054","pop1","495","496","504","509","505","508","506","506","505","500","495","506","509","505","503","492","504","506","498","498","501","500","509","500","498","504","496","500","503","502","493","498","495","491","497","491","499","494","504","502"
"0055","pop1","495","493","509","499","501","500","507","499","504","499","496","496","507","509","500","494","498","505","492","491","501","496","496","493","496","502","510","494","499","501","496","500","498","495","497","501","503","505","504","503"
"0056","pop1","496","504","506","504","501","500","504","504","506","502","503","500","501","504","503","498","503","507","498","492","496","496","493","500","503","501","501","508","502","502","497","498","498","500","502","499","498","503","504","503"
"0057","pop1","494","506","507","503","498","502","506","497","504","505","500","501","508","500","503","497","508","496","505","495","503","500","509","492","500","503","497","494","494","497","493","493","500","494","491","492","499","500","504","503"
"0058","pop1","495","505","504","509","501","510","506","505","502","503","497","498","506","506","502","499","505","499","500","498","502","498","495","492","504","503","500","500","500","502","493","493","499","504","501","495","504","500","504","503"
"0059","pop1","495","494","506","509","503","501","496","496","501","503","500","500","506","506","503","493","505","505","499","498","503","497","496","494","500","505","506","494","501","502","496","500","500","502","493","499","499","500","505","504"
"0060","pop1","495","506","506","507","509","500","504","496","502","505","496","506","506","506","499","500","508","508","499","493","498","500","509","494","504","501","495","494","500","492","500","500","501","502","499","494","499","499","504","504"
"0061","pop1","497","506","502","505","502","503","504","505","501","503","497","502","506","505","503","499","497","505","498","493","503","498","496","494","499","505","499","499","496","503","494","500","497","497","500","499","499","501","504","501"
"0062","pop1","496","497","503","503","499","500","506","505","505","500","501","494","508","505","500","494","506","506","499","503","501","502","509","498","502","497","499","494","500","503","496","497","497","505","493","502","498","497","506","503"
"0063","pop1","497","506","509","509","499","507","505","497","501","509","496","500","506","506","503","500","507","505","498","498","496","497","495","494","496","502","501","503","500","495","494","492","500","504","500","501","499","505","506","503"
"0064","pop1","496","505","502","507","505","504","506","500","505","500","505","493","506","496","495","498","497","506","499","492","502","497","492","499","496","504","497","503","503","502","500","493","498","503","500","496","503","494","505","503"
"0065","pop1","498","498","508","504","498","508","506","501","493","496","505","499","506","502","503","504","505","499","505","493","501","502","495","502","500","499","499","502","500","501","501","498","501","499","501","499","499","500","504","502"
"0066","pop1","495","494","507","503","503","508","505","505","502","496","499","502","497","497","503","500","504","497","500","494","498","496","495","494","499","499","499","510","501","502","501","500","498","500","496","498","496","499","503","501"
"0067","pop1","495","494","502","504","502","508","505","498","502","503","497","492","503","498","498","501","508","496","500","493","502","496","509","507","498","497","506","506","500","492","500","503","497","503","500","500","498","499","505","503"
"0068","pop1","495","501","500","503","503","500","504","505","503","500","497","506","507","504","505","498","504","505","500","493","497","500","509","509","498","496","496","497","501","502","496","493","497","496","500","496","498","498","502","503"
"0069","pop1","495","496","506","505","502","508","505","505","501","496","506","506","508","497","503","494","508","499","503","491","496","497","509","505","498","503","499","497","500","492","496","501","498","503","493","493","498","504","505","502"
"0070","pop1","495","504","498","499","509","500","506","504","504","505","500","498","507","505","499","497","504","497","498","492","501","497","495","509","500","499","496","500","503","504","500","499","498","499","500","498","498","499","505","503"
"0071","pop1","495","496","506","509","509","500","506","500","499","494","504","502","506","504","501","501","503","505","493","493","503","505","494","503","499","501","500","508","502","502","493","498","501","499","497","491","498","499","505","502"
"0072","pop1","494","498","507","503","498","503","497","509","505","496","504","505","507","504","495","501","508","506","500","497","497","499","495","495","498","497","497","509","494","501","500","491","500","501","496","501","499","494","504","504"
"0073","pop1","495","497","506","505","503","507","500","497","505","499","505","498","506","506","495","500","508","496","503","503","497","499","496","502","503","499","499","510","494","502","496","501","497","499","500","498","497","500","502","503"
"0074","pop1","495","494","500","505","500","508","506","500","493","496","497","499","508","507","495","500","508","504","499","495","502","502","509","502","500","503","499","509","500","492","496","496","496","493","501","501","504","505","504","504"
"0075","pop1","496","494","508","503","501","507","504","497","493","503","500","492","507","504","499","500","506","505","503","498","495","500","497","495","504","499","500","501","502","497","496","494","498","491","501","499","498","499","505","506"
"0076","pop1","495","498","498","503","503","508","506","505","493","493","503","505","506","507","494","497","508","504","500","498","503","498","497","495","496","500","506","504","499","500","501","497","502","496","492","499","497","493","502","503"
