Tue Jul 13 15:31:22 2021: rmetasim landscape output
locus-2 
locus-3 
POP
Class-0 Gen-99, 004004  004003  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 004003  004003  
 Class-0 Gen-99, 004003  002004  
 Class-0 Gen-99, 003003  002004  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 004003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002004  002004  
 Class-0 Gen-99, 003004  002003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003004  002002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002003  002004  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 002003  002004  
 Class-0 Gen-99, 002003  002004  
 Class-0 Gen-99, 003004  002002  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 004004  003002  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 002003  004003  
 Class-0 Gen-99, 002003  004003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 004003  004002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 004004  004004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003002  002003  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003003  002004  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 002003  004002  
 Class-0 Gen-99, 002003  004002  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 003002  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003003  002004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  002003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 002004  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003002  004002  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 003002  004002  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 004004  002002  
 Class-0 Gen-99, 003003  002004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003004  004004  
 Class-0 Gen-99, 003004  004004  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 004003  004002  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  004004  
 Class-0 Gen-99, 004002  003004  
 Class-0 Gen-99, 002003  003002  
 Class-0 Gen-99, 002003  003002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002002  002004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003002  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003002  003002  
 Class-0 Gen-99, 003002  004002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 002002  003002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 002003  003003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 002002  002004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003002  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002003  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003002  003003  
 Class-0 Gen-99, 003002  003004  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  004004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  002004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 003003  004003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003003  003002  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 002002  004002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  003003  
 Class-0 Gen-99, 002002  003004  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003004  002004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003004  002003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003004  004003  
 Class-0 Gen-99, 002002  004004  
 Class-0 Gen-99, 003004  004004  
 Class-0 Gen-99, 003004  004003  
 Class-0 Gen-99, 002004  004003  
 Class-0 Gen-99, 002004  003003  
 Class-0 Gen-99, 004004  002002  
 Class-0 Gen-99, 004004  002002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 004004  002002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002003  002002  
 Class-0 Gen-99, 002003  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 003002  002002  
 Class-0 Gen-99, 002002  002002  
 Class-0 Gen-99, 002004  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  003004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  004004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 002003  004002  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003002  004003  
 Class-0 Gen-99, 003003  003003  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 002002  004003  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 003003  002002  
 Class-0 Gen-99, 002003  002002  
 Class-0 Gen-99, 003003  002004  
 Class-0 Gen-99, 003003  004004  
 Class-0 Gen-99, 003003  003004  
 Class-0 Gen-99, 003003  004002  
 Class-0 Gen-99, 003003  003004  
